business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,opening_hours
OPERATIONAL,"{'location': {'lat': 37.73506740000001, 'lng': -122.1966892}, 'viewport': {'northeast': {'lat': 37.73655032989273, 'lng': -122.1955311701073}, 'southwest': {'lat': 37.73385067010728, 'lng': -122.1982308298928}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Courtyard Oakland Airport,"[{'height': 423, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116919996772618776057"">Courtyard Oakland Airport</a>'], 'photo_reference': 'ATplDJYM4oIAi14tuiS32bNZiGj_weCLXk_ROnPPtE8Fl647yn7TFYNMH2-X4xc3DBVL2zVi3alYzEepTtTyv_6shV0MF_Nk4tiStGMN_V49gNSwd8jNIi5yFnbCDX76ublseBQdMQGwusAXPUa-8tD5aY5PDwM4YS2972BKmKy0NaICCJch', 'width': 610}]",ChIJScRJ_peFj4ARVXwgLhxSeRI,"{'compound_code': 'PRP3+28 Oakland, California', 'global_code': '849VPRP3+28'}",4.0,ChIJScRJ_peFj4ARVXwgLhxSeRI,GOOGLE,"['lodging', 'point_of_interest', 'establishment']",1020,"350 Hegenberger Rd, Oakland",
OPERATIONAL,"{'location': {'lat': 37.83481769999999, 'lng': -122.2938965}, 'viewport': {'northeast': {'lat': 37.83624462989271, 'lng': -122.2923674201073}, 'southwest': {'lat': 37.83354497010727, 'lng': -122.2950670798927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Sonesta Emeryville - San Francisco Bay Bridge,"[{'height': 2667, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108671844262882410807"">Courtyard Oakland Emeryville</a>'], 'photo_reference': 'ATplDJbjAO_QacmLVuhAFdbFAscm1NIEkXUjqfnSYLojWDRLXWfmjfnrCCa-qvQLniKo8CpZtVVTQA7N2kRwT4ugHO7bA3q4mtZtmJROmeU-aMkabZ0M7wa3R2RY0zaKV6RYA7WsS95LKldHWwhCYd_HfDBe0Thv-JVL43YozFP28U4DGELy', 'width': 4000}]",ChIJWcLuBkR-hYARhGcu6E4U23A,"{'compound_code': 'RPM4+WC Emeryville, California', 'global_code': '849VRPM4+WC'}",4.3,ChIJWcLuBkR-hYARhGcu6E4U23A,GOOGLE,"['lodging', 'point_of_interest', 'establishment']",1260,"5555 Shellmound St, Emeryville",
OPERATIONAL,"{'location': {'lat': 37.72453720000001, 'lng': -122.242502}, 'viewport': {'northeast': {'lat': 37.72612187989272, 'lng': -122.2411136701073}, 'southwest': {'lat': 37.72342222010728, 'lng': -122.2438133298927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hampton Inn & Suites Oakland Airport-Alameda,"[{'height': 3110, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112139164570041682603"">A Google User</a>'], 'photo_reference': 'ATplDJbvE-gnXPVwUuaVpvyT79d6HrUZvezOa41su2cxLJVPo8wsVAtu5rg2mricTwcFKAqL-xmlSDMyh17a39iNX7wv8cx8NvJlF7MvjpYfnyO56NTA3BGZllF0kc_QFihn1fcxJ6O0nVDeG3UrHoNmF8-oHR1nGGCTCB2BINVHuq-GYT4W', 'width': 4514}]",ChIJF_2QcEKEj4ARS4D7AUsIQ58,"{'compound_code': 'PQF4+RX Alameda, California', 'global_code': '849VPQF4+RX'}",4.1,ChIJF_2QcEKEj4ARS4D7AUsIQ58,GOOGLE,"['lodging', 'point_of_interest', 'establishment']",651,"1700 Harbor Bay Pkwy, Alameda",
OPERATIONAL,"{'location': {'lat': 37.6971789, 'lng': -122.1885739}, 'viewport': {'northeast': {'lat': 37.69865172989272, 'lng': -122.1871398201073}, 'southwest': {'lat': 37.69595207010727, 'lng': -122.1898394798927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,The Marina Inn on San Francisco Bay,"[{'height': 1365, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115186128177334984973"">A Google User</a>'], 'photo_reference': 'ATplDJZ0FWGhx4j6SghFsT9C0ZujqVmn1b6fBUmYTKV9qysivre6RlTelU20lX42LgEAfaPiUwJbYFHJxkfZXnz_lmOt4ZkY23uHOt7z6P7hCZD2AJp0I7DmYzme4Jmo3s7JvH6uZpIb_XKhcdP7b-YO99YdgQAdm2TMrL5ePnRxtr7O9Cau', 'width': 2048}]",ChIJ-x_bVE6Fj4ARYj3Nbiik14M,"{'compound_code': 'MRW6+VH San Leandro, California', 'global_code': '849VMRW6+VH'}",4.3,ChIJ-x_bVE6Fj4ARYj3Nbiik14M,GOOGLE,"['lodging', 'point_of_interest', 'establishment']",1286,"68 Monarch Bay Dr, San Leandro",{'open_now': True}
OPERATIONAL,"{'location': {'lat': 37.8677002, 'lng': -122.295793}, 'viewport': {'northeast': {'lat': 37.86925222989272, 'lng': -122.2945596201072}, 'southwest': {'lat': 37.86655257010727, 'lng': -122.2972592798927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,La Quinta Inn by Wyndham Berkeley,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113841412784225694737"">La Quinta Inn Berkeley</a>'], 'photo_reference': 'ATplDJZ2IiH3Jcg5sTzxGj1nCeMdyhy89E4s4bGDuyndjtuLKnUMNiqEDjNRYnPpo8vQlSxRVGNjw507I-xCsgghWVSdX9_rVNDLJccGUnixNMi1jrDSRpNbpzHS-x8PE7MT69zPLBt6YTtQH34aDWFR3zyPnOinsyOwgPEDUqxW7igvIP4p', 'width': 2880}]",ChIJAc17aMJ-hYARkud6oL88YjE,"{'compound_code': 'VP93+3M Berkeley, California', 'global_code': '849VVP93+3M'}",3.7,ChIJAc17aMJ-hYARkud6oL88YjE,GOOGLE,"['lodging', 'point_of_interest', 'establishment']",688,"920 University Ave, Berkeley",{'open_now': True}
OPERATIONAL,"{'location': {'lat': 37.5900099, 'lng': -122.3596198}, 'viewport': {'northeast': {'lat': 37.59155362989273, 'lng': -122.3582065201073}, 'southwest': {'lat': 37.58885397010729, 'lng': -122.3609061798928}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,"Crowne Plaza San Francisco Airport, an IHG Hotel","[{'height': 1374, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100451751152988374022"">Crowne Plaza San Francisco Airport</a>'], 'photo_reference': 'ATplDJbtyFx26JlRp5ZztKkQ0IgoMvqwhRnqjN_DWshLt-qQxncoIk6XVBxEDGs4K_F99HAGqiuNxNAYxpbk7uyrmKiAAw7-5PL0SUroMPX_Zc4coMCPRn7VFz2ZMRCumk2IF4xLX3cbktQPMwqMumHDRQm80DePkAEbEysEoVe7lJQJH7xK', 'width': 2048}]",ChIJKR4H6Sh2j4ARUgNtzFkqYpQ,"{'compound_code': 'HJRR+25 Burlingame, California', 'global_code': '849VHJRR+25'}",3.7,ChIJKR4H6Sh2j4ARUgNtzFkqYpQ,GOOGLE,"['lodging', 'point_of_interest', 'establishment']",2186,"1177 Airport Blvd., Burlingame",
OPERATIONAL,"{'location': {'lat': 37.8806968, 'lng': -122.5195841}, 'viewport': {'northeast': {'lat': 37.88213567989272, 'lng': -122.5182458701073}, 'southwest': {'lat': 37.87943602010728, 'lng': -122.5209455298928}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Muir Woods Lodge,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107812573334074082372"">Yaseng Yann</a>'], 'photo_reference': 'ATplDJZow-Hy-HOUoiDMvEN903BC_APmUyga1bA537SQf1oeJDVQONAex8se6cO95xhvg0MwvVyVm7zYXTTQbxcilG2gkgvZ85iZSzCgbvKUn8o9_9TLZFRsgDKj0sqvROhnCDr8U8N1kkfwygF2bynZlP6Xq1hjEQXG-Pj6jhyXzPKTGvtx', 'width': 4000}]",ChIJlVdQtHiFhYARaXSqMwn3KuU,"{'compound_code': 'VFJJ+75 Mill Valley, California', 'global_code': '849VVFJJ+75'}",3.7,ChIJlVdQtHiFhYARaXSqMwn3KuU,GOOGLE,"['lodging', 'point_of_interest', 'establishment']",165,"155 Shoreline Hwy, Mill Valley",
OPERATIONAL,"{'location': {'lat': 37.7760239, 'lng': -122.2764042}, 'viewport': {'northeast': {'lat': 37.77748777989272, 'lng': -122.2749998201072}, 'southwest': {'lat': 37.77478812010727, 'lng': -122.2776994798927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hawthorn Suites by Wyndham Oakland/Alameda,"[{'height': 400, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110768827324161949231"">A Google User</a>'], 'photo_reference': 'ATplDJZwRUKWe9wOim9JrWZetIQf4LxXC3ioBBMGARxQQVWBC_gZzO44QAHiQ7OpGQiIr5EXbRSH-TTdka9lJ3Q293eLFg6gaxZ5VE9liOoQPj8RLodfnd6ppwhHVmg0GJjSfdIkh05RHrM6v0cmnSkheXbMRMRqsiBBzpmxf9AjwGSY-gb-', 'width': 711}]",ChIJ6Ql2dyiBj4ARTFftATBK574,"{'compound_code': 'QPGF+CC Alameda, California', 'global_code': '849VQPGF+CC'}",4.3,ChIJ6Ql2dyiBj4ARTFftATBK574,GOOGLE,"['lodging', 'point_of_interest', 'establishment']",345,"1628 Webster St, Alameda",{'open_now': True}
OPERATIONAL,"{'location': {'lat': 37.8932089, 'lng': -122.5170069}, 'viewport': {'northeast': {'lat': 37.89458647989273, 'lng': -122.5156536701073}, 'southwest': {'lat': 37.89188682010728, 'lng': -122.5183533298927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Travelodge by Wyndham Mill Valley/Sausalito,"[{'height': 400, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114794118603055303368"">Travelodge Mill Valley Sausalito</a>'], 'photo_reference': 'ATplDJYeaS7dMCDnZQ5Fw6iXaZKV-_c4P9NauEiNSmnP1vpy16y-Hgk2RrYEUMF1R8J4yQDw1S7ossnbGmFR8Wh0Ez8Wbf6p9q6_IsjU8VCWfcBF0CeilaQwa9rxqmaN1NUduUF_A2f3Zqta6PISgeDQCVJ9tabbX5q4HSIVMGpydF5jwcRn', 'width': 711}]",ChIJMwdR2UqFhYARfvlsrzlpIwM,"{'compound_code': 'VFVM+75 Mill Valley, California', 'global_code': '849VVFVM+75'}",3.4,ChIJMwdR2UqFhYARfvlsrzlpIwM,GOOGLE,"['lodging', 'point_of_interest', 'establishment']",401,"707 Redwood Hwy, Mill Valley",{'open_now': True}
OPERATIONAL,"{'location': {'lat': 37.9678109, 'lng': -122.5305719}, 'viewport': {'northeast': {'lat': 37.96910352989273, 'lng': -122.5292143701073}, 'southwest': {'lat': 37.96640387010729, 'lng': -122.5319140298927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Panama Hotel,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104779741662121016651"">Andrey Ivanov</a>'], 'photo_reference': 'ATplDJa1GTLHBMkgksj3arDSJuEC-BMx83rZ0sC20HTVRih8vlSSqqu1t9CcwQ-uymo9lmp0LgAZ9izxbmv9RAq6bCyLntOosc0X8IFy0bllxKBamaaJEjA0XqhEWd_mmn1LyS2MRAwE0rAHhap8raF1FY4-TFRStWfZgbn9hrSm1aXfpGM2', 'width': 4000}]",ChIJD0DGxPiZhYARVlQFSvY-apU,"{'compound_code': 'XF99+4Q San Rafael, California', 'global_code': '849VXF99+4Q'}",4.2,ChIJD0DGxPiZhYARVlQFSvY-apU,GOOGLE,"['lodging', 'point_of_interest', 'establishment']",264,"4 Bayview St, San Rafael",
